#run_name            mass#9900012         numixing#1           cross                width#9900012        
run_01               7.000000e-01         1.000000e-02         4.619646e-01         5.049386e-18         
run_02               7.000000e-01         1.000000e+00         4.603571e+03         5.049386e-14         
run_03               8.000000e-01         1.000000e-02         4.565681e-01         9.978230e-18         
run_04               8.000000e-01         1.000000e+00         4.564733e+03         9.978230e-14         
run_05               9.000000e-01         1.000000e-02         4.514629e-01         1.814185e-17         
run_06               9.000000e-01         1.000000e+00         4.579248e+03         1.814185e-13         
run_07               1.000000e+00         1.000000e-02         4.497028e-01         3.094470e-17         
run_08               1.000000e+00         1.000000e+00         4.508860e+03         3.094470e-13         
run_09               1.100000e+00         1.000000e-02         4.497430e-01         5.009233e-17         
run_10               1.100000e+00         1.000000e+00         4.466932e+03         5.009233e-13         
run_11               1.200000e+00         1.000000e-02         4.462063e-01         7.769541e-17         
run_12               1.200000e+00         1.000000e+00         4.460447e+03         7.769541e-13         
