mass,hepmc_avgdecpos,hepmc_avgctau,madspin_autoctau,VeN1,process,SampleY
0.1,6564903023.846831,2818846.916933484,1964049.1280839331,0.01,CCDY_eev,4
1.0,2636.0495703393844,5.880544147830296,6.381060407759648,0.01,CCDY_eev,11
10.0,0.001253997671930276,3.6825720497974725e-05,3.947037023711006e-05,0.01,CCDY_eev,18
0.1,9128625148.8912,2574081.377439324,1964049.1280839331,0.01,CCDY_eev,4
0.1,9546700022.49322,2609910.527317151,1964049.1280839331,0.01,CCDY_eev,4
0.1,9349352417.326283,2743441.991967403,1964049.1280839331,0.01,CCDY_eev,0
0.2,10483398.065376135,6226.556411860631,25803.19062606909,0.01,CCDY_eev,1
0.3,951948.8715747399,798.874236914991,3147.442021937413,0.01,CCDY_eev,2
0.4,233240.4936529383,258.59394544635944,698.806232561695,0.01,CCDY_eev,3
0.5,75686.03136391765,113.38391692728017,219.90617514714984,0.01,CCDY_eev,4
0.6,30682.593866344392,56.292363261031994,85.95206516094575,0.01,CCDY_eev,5
0.7,14744.408999679003,31.95431691283575,39.1057447380731,0.01,CCDY_eev,6
0.8,7939.180946484275,18.79830739268271,19.789080828964654,0.01,CCDY_eev,7
0.9,3721.9248985339077,9.483256226163261,10.88422625035484,0.01,CCDY_eev,8
1.0,1907.1929029586636,5.531301333844873,6.381060407759648,0.01,CCDY_eev,9
1.2,620.5210576847077,2.164676918354857,2.541462874061672,0.01,CCDY_eev,10
1.4,237.42084485931926,1.042308578181475,1.1692685942485201,0.01,CCDY_eev,11
1.6,110.84419009352017,0.5290490566464014,0.5972440751972212,0.01,CCDY_eev,12
0.1,9349352417.326283,2743441.991967403,1964049.1280839331,0.01,CCDY_eev,0
0.2,10483398.065376135,6226.556411860631,25803.19062606909,0.01,CCDY_eev,1
0.3,951948.8715747399,798.874236914991,3147.442021937413,0.01,CCDY_eev,2
0.4,233240.4936529383,258.59394544635944,698.806232561695,0.01,CCDY_eev,3
0.5,75686.03136391765,113.38391692728017,219.90617514714984,0.01,CCDY_eev,4
0.6,30682.593866344392,56.292363261031994,85.95206516094575,0.01,CCDY_eev,5
0.7,14744.408999679003,31.95431691283575,39.1057447380731,0.01,CCDY_eev,6
0.8,7939.180946484275,18.79830739268271,19.789080828964654,0.01,CCDY_eev,7
0.9,3721.9248985339077,9.483256226163261,10.88422625035484,0.01,CCDY_eev,8
1.0,1907.1929029586636,5.531301333844873,6.381060407759648,0.01,CCDY_eev,9
1.2,620.5210576847077,2.164676918354857,2.541462874061672,0.01,CCDY_eev,10
